Age at Issuance,Gender,Marital Status,Financial Dependents,Income (INR p.a.),Occupation,Major Life Events,Location,Policy Type,Time Since Issuance,Sum Assured (INR),Premium (INR p.a.),Payment Frequency,Payment Method,Missed Payments,Bank Balance (INR),Credit Score,Purchase Channel,Churn
58.5,Female,Married,2,297912,Gig Work,3,Rural,Term Life,0-3 months,500000,9865,Quarterly,Auto-Debit,2,56245,715,Agent Distribution,0
20.9,Female,Married,3,346243,Employed,0,Urban,Whole Life,4-6 months,5000000,29727,Monthly,Auto-Debit,2,28948,752,Embedded Apps,0
56.3,Do not wish to disclose,Unmarried,2,269689,Employed,1,Rural,Supplemental Health Insurance,7+ months,2000000,37090,Annual,Manual Payment,0,173264,609,Embedded Apps,1
23.4,Male,Unmarried,1,120000,Gig Work,1,Urban,Whole Life,4-6 months,5000000,86055,Annual,Auto-Debit,5,127962,742,Embedded Apps,1
25.8,Female,Married,2,300241,Employed,2,Urban,Term Life,7+ months,5000000,48568,Monthly,Auto-Debit,1,40289,599,Embedded Apps,1
44.2,Male,Unmarried,3,1262711,Employed,0,Urban,Term Life,7+ months,500000,9801,Quarterly,Auto-Debit,0,54901,650,Direct,0
26.7,Male,Married,0,208558,Employed,1,Urban,Supplemental Health Insurance,7+ months,1000000,9319,Monthly,Auto-Debit,2,49648,433,Direct,1
54.1,Female,Unmarried,1,161191,Retired,4,Rural,Whole Life,7+ months,1000000,18339,Quarterly,Auto-Debit,1,55291,712,Embedded Apps,1
50.2,Female,Unmarried,4,348482,Gig Work,3,Rural,Term Life,0-3 months,2000000,36422,Annual,Manual Payment,1,76195,628,Embedded Apps,1
59.2,Do not wish to disclose,Unmarried,1,333922,Gig Work,3,Urban,Whole Life,7+ months,2000000,32729,Quarterly,Auto-Debit,0,79758,768,Embedded Apps,0
61.8,Male,Married,2,618414,Employed,0,Urban,Whole Life,7+ months,1000000,13452,Monthly,Auto-Debit,0,58651,711,Direct,1
41.6,Male,Married,2,120000,Gig Work,1,Urban,Term Life,7+ months,2000000,13600,Monthly,Manual Payment,2,53823,769,Agent Distribution,1
32.9,Female,Married,2,447739,Employed,2,Urban,Term Life,0-3 months,2000000,25959,Annual,Auto-Debit,0,82205,593,Direct,1
49.0,Female,Unmarried,2,405670,Employed,1,Urban,Term Life,7+ months,500000,5175,Half Yearly,Manual Payment,1,112888,763,Agent Distribution,1
49.3,Male,Married,1,242922,Employed,3,Urban,Whole Life,4-6 months,5000000,84416,Quarterly,Auto-Debit,1,76646,848,Direct,1
42.0,Male,Married,2,340129,Employed,2,Urban,Whole Life,0-3 months,2000000,32743,Monthly,Auto-Debit,2,249430,741,Direct,0
58.7,Male,Married,2,551623,Employed,0,Urban,Whole Life,7+ months,5000000,93295,Monthly,Auto-Debit,0,148222,743,Direct,0
29.5,Female,Married,2,494163,Employed,3,Urban,Supplemental Health Insurance,7+ months,1000000,5222,Annual,Auto-Debit,1,27648,693,Agent Distribution,0
56.5,Male,Unmarried,0,120558,Employed,4,Urban,Supplemental Health Insurance,7+ months,500000,8568,Quarterly,Auto-Debit,0,150088,638,Agent Distribution,0
19.4,Male,Married,2,476446,Employed,0,Rural,Whole Life,7+ months,1000000,19076,Quarterly,Manual Payment,1,160241,740,Direct,1
20.1,Male,Unmarried,1,256457,Gig Work,2,Urban,Term Life,7+ months,500000,8419,Quarterly,Manual Payment,1,69717,559,Agent Distribution,1
54.5,Male,Married,1,282380,Employed,1,Rural,Whole Life,0-3 months,10000000,69529,Half Yearly,Manual Payment,0,29847,646,Direct,0
34.5,Male,Married,1,282444,Gig Work,1,Urban,Term Life,4-6 months,500000,3109,Monthly,Manual Payment,1,99354,538,Embedded Apps,0
19.9,Female,Married,1,241549,Employed,0,Urban,Whole Life,0-3 months,2000000,10625,Monthly,Auto-Debit,0,98108,623,Agent Distribution,0
19.4,Male,Married,3,617970,Gig Work,2,Urban,Whole Life,7+ months,1000000,14431,Quarterly,Manual Payment,0,40242,731,Agent Distribution,1
45.5,Female,Married,1,253063,Employed,4,Urban,Term Life,0-3 months,1000000,14445,Half Yearly,Auto-Debit,0,30915,720,Embedded Apps,0
40.8,Male,Unmarried,4,122555,Employed,2,Rural,Supplemental Health Insurance,4-6 months,500000,9901,Half Yearly,Manual Payment,0,92038,684,Agent Distribution,0
54.2,Female,Married,4,203725,Employed,0,Urban,Term Life,7+ months,2000000,21941,Annual,Auto-Debit,0,81923,693,Agent Distribution,1
49.4,Female,Unmarried,2,304092,Employed,2,Rural,Whole Life,4-6 months,2000000,19957,Quarterly,Manual Payment,0,70699,529,Agent Distribution,0
50.4,Female,Married,0,634409,Gig Work,1,Rural,Term Life,0-3 months,1000000,14366,Monthly,Manual Payment,1,92343,650,Embedded Apps,0
18.4,Female,Married,2,409284,Employed,3,Urban,Supplemental Health Insurance,7+ months,5000000,86920,Annual,Auto-Debit,2,40854,625,Direct,1
36.1,Male,Unmarried,3,147949,Employed,1,Urban,Term Life,0-3 months,1000000,19051,Quarterly,Auto-Debit,1,69713,627,Embedded Apps,1
19.9,Male,Married,2,1528248,Gig Work,0,Rural,Term Life,0-3 months,1000000,17046,Half Yearly,Auto-Debit,0,151245,727,Embedded Apps,1
61.2,Female,Married,0,322979,Gig Work,0,Urban,Term Life,4-6 months,1000000,11400,Half Yearly,Auto-Debit,3,74609,611,Agent Distribution,1
44.0,Do not wish to disclose,Married,2,655250,Employed,2,Rural,Term Life,7+ months,500000,7261,Quarterly,Manual Payment,1,25910,631,Agent Distribution,0
49.5,Female,Married,3,241300,Employed,1,Urban,Term Life,7+ months,5000000,89222,Monthly,Manual Payment,0,67632,513,Agent Distribution,1
23.4,Female,Unmarried,3,389785,Employed,2,Urban,Whole Life,4-6 months,1000000,12359,Half Yearly,Auto-Debit,2,41934,656,Direct,1
49.3,Female,Married,1,482930,Employed,1,Urban,Term Life,7+ months,500000,4125,Annual,Auto-Debit,0,122236,592,Direct,0
21.9,Male,Unmarried,2,629534,Employed,1,Urban,Term Life,4-6 months,1000000,7545,Quarterly,Manual Payment,1,127397,686,Embedded Apps,0
28.2,Male,Unmarried,1,562506,Retired,1,Rural,Term Life,7+ months,2000000,10004,Quarterly,Auto-Debit,0,26186,603,Agent Distribution,1
34.5,Female,Married,1,494122,Employed,4,Urban,Supplemental Health Insurance,0-3 months,1000000,15773,Monthly,Auto-Debit,0,181173,688,Agent Distribution,1
56.0,Female,Unmarried,3,215225,Employed,4,Rural,Whole Life,7+ months,2000000,13332,Monthly,Manual Payment,2,40548,668,Embedded Apps,0
41.1,Male,Married,1,179831,Employed,1,Urban,Whole Life,7+ months,500000,4328,Monthly,Manual Payment,0,343638,813,Agent Distribution,1
22.9,Female,Unmarried,1,338684,Retired,1,Urban,Whole Life,7+ months,1000000,9468,Monthly,Auto-Debit,0,94937,719,Direct,1
51.7,Male,Married,0,515653,Gig Work,0,Urban,Term Life,0-3 months,5000000,67028,Annual,Auto-Debit,3,36420,532,Agent Distribution,1
23.6,Female,Unmarried,3,229600,Employed,2,Urban,Term Life,4-6 months,500000,5484,Half Yearly,Manual Payment,3,39593,578,Agent Distribution,0
39.4,Male,Married,3,565587,Gig Work,1,Urban,Term Life,7+ months,5000000,75600,Half Yearly,Manual Payment,1,130414,684,Direct,0
28.6,Male,Married,2,741797,Employed,3,Urban,Supplemental Health Insurance,0-3 months,500000,2917,Quarterly,Manual Payment,0,72183,605,Embedded Apps,0
65.6,Female,Unmarried,3,141290,Employed,4,Rural,Supplemental Health Insurance,7+ months,5000000,34295,Monthly,Auto-Debit,0,91370,442,Direct,1
33.9,Male,Unmarried,1,149366,Employed,1,Urban,Whole Life,7+ months,1000000,12488,Annual,Manual Payment,2,358693,787,Agent Distribution,0
50.1,Female,Married,2,243223,Employed,1,Urban,Term Life,7+ months,2000000,20108,Quarterly,Auto-Debit,0,56421,737,Direct,0
26.4,Female,Married,2,332810,Employed,3,Rural,Term Life,0-3 months,500000,4718,Monthly,Manual Payment,0,103566,721,Agent Distribution,1
23.8,Female,Unmarried,0,185870,Retired,3,Rural,Term Life,7+ months,500000,3002,Quarterly,Auto-Debit,0,307390,631,Agent Distribution,0
33.8,Male,Unmarried,2,691447,Employed,0,Urban,Whole Life,7+ months,1000000,18435,Annual,Auto-Debit,0,122566,714,Agent Distribution,1
46.8,Male,Unmarried,4,361077,Retired,1,Urban,Term Life,7+ months,500000,7688,Annual,Manual Payment,0,27302,623,Embedded Apps,1
20.4,Male,Unmarried,0,275850,Employed,1,Rural,Supplemental Health Insurance,0-3 months,1000000,6824,Monthly,Auto-Debit,0,147902,696,Direct,1
37.0,Do not wish to disclose,Unmarried,1,120000,Employed,1,Urban,Term Life,0-3 months,1000000,5975,Annual,Auto-Debit,0,38933,606,Embedded Apps,0
53.0,Female,Unmarried,1,120000,Employed,0,Urban,Supplemental Health Insurance,4-6 months,2000000,39246,Monthly,Manual Payment,0,304201,801,Agent Distribution,1
36.7,Female,Married,1,326670,Employed,0,Urban,Whole Life,0-3 months,2000000,30435,Monthly,Manual Payment,0,51108,554,Embedded Apps,1
43.2,Female,Married,4,120000,Employed,2,Rural,Whole Life,7+ months,2000000,22523,Annual,Manual Payment,0,1061939,778,Agent Distribution,1
20.5,Female,Unmarried,2,545166,Employed,1,Urban,Whole Life,7+ months,2000000,31051,Annual,Auto-Debit,1,319304,683,Direct,1
36.5,Female,Unmarried,2,240215,Employed,0,Rural,Whole Life,4-6 months,1000000,16344,Quarterly,Auto-Debit,2,52193,640,Direct,0
37.3,Male,Married,3,2597772,Employed,1,Urban,Whole Life,7+ months,1000000,16699,Quarterly,Manual Payment,0,100309,693,Embedded Apps,1
49.3,Female,Married,1,1349900,Gig Work,3,Rural,Whole Life,0-3 months,1000000,12168,Annual,Auto-Debit,0,180397,738,Embedded Apps,1
24.6,Male,Unmarried,2,236330,Employed,3,Urban,Whole Life,0-3 months,5000000,57241,Half Yearly,Manual Payment,0,184781,789,Agent Distribution,1
58.5,Female,Married,2,249088,Employed,1,Urban,Supplemental Health Insurance,0-3 months,1000000,5165,Annual,Auto-Debit,0,140627,705,Agent Distribution,1
50.9,Female,Married,2,538696,Employed,1,Rural,Whole Life,4-6 months,500000,9449,Quarterly,Manual Payment,0,268801,608,Agent Distribution,0
57.4,Female,Married,5,884007,Retired,4,Urban,Whole Life,7+ months,2000000,28099,Annual,Auto-Debit,0,89466,684,Embedded Apps,0
56.7,Male,Married,3,120000,Gig Work,1,Urban,Supplemental Health Insurance,0-3 months,1000000,8047,Annual,Auto-Debit,1,73616,825,Embedded Apps,0
35.1,Male,Married,2,120000,Employed,1,Urban,Term Life,7+ months,5000000,93970,Monthly,Manual Payment,1,74795,787,Embedded Apps,0
58.0,Male,Married,3,173611,Employed,1,Urban,Term Life,7+ months,5000000,93619,Annual,Auto-Debit,0,196162,752,Embedded Apps,0
18.4,Male,Married,1,403493,Employed,0,Urban,Whole Life,7+ months,500000,9918,Quarterly,Manual Payment,0,132209,743,Embedded Apps,0
28.8,Male,Unmarried,0,379956,Retired,1,Rural,Whole Life,0-3 months,500000,9055,Quarterly,Manual Payment,2,124620,735,Direct,0
45.7,Female,Married,1,567411,Gig Work,3,Urban,Supplemental Health Insurance,0-3 months,1000000,19966,Half Yearly,Manual Payment,0,186500,772,Embedded Apps,1
42.4,Female,Unmarried,1,120000,Employed,2,Urban,Term Life,0-3 months,2000000,17340,Monthly,Manual Payment,1,19132,643,Agent Distribution,1
40.2,Male,Unmarried,2,120000,Employed,1,Urban,Whole Life,4-6 months,1000000,17633,Quarterly,Auto-Debit,0,126507,571,Embedded Apps,0
48.1,Male,Married,2,489240,Employed,4,Rural,Whole Life,4-6 months,2000000,34690,Annual,Auto-Debit,1,117577,685,Agent Distribution,0
47.8,Male,Unmarried,4,150281,Retired,0,Rural,Term Life,7+ months,2000000,16928,Monthly,Auto-Debit,3,375136,614,Direct,1
59.5,Female,Married,2,120000,Employed,1,Urban,Whole Life,7+ months,1000000,6476,Quarterly,Auto-Debit,3,29060,595,Agent Distribution,1
53.0,Female,Unmarried,2,297016,Employed,2,Urban,Supplemental Health Insurance,7+ months,500000,9845,Annual,Auto-Debit,0,343090,622,Agent Distribution,0
24.0,Female,Married,0,467531,Employed,2,Rural,Term Life,7+ months,2000000,18880,Quarterly,Auto-Debit,0,104854,878,Direct,1
33.9,Female,Unmarried,0,246362,Gig Work,0,Urban,Whole Life,0-3 months,1000000,18063,Quarterly,Auto-Debit,0,145975,690,Agent Distribution,1
43.9,Do not wish to disclose,Unmarried,2,194756,Gig Work,1,Rural,Whole Life,4-6 months,5000000,25309,Quarterly,Auto-Debit,3,377277,708,Agent Distribution,1
65.7,Female,Married,2,240012,Gig Work,2,Rural,Term Life,7+ months,1000000,5315,Quarterly,Auto-Debit,0,154601,582,Agent Distribution,0
19.9,Male,Married,3,207024,Employed,2,Rural,Term Life,7+ months,2000000,23976,Half Yearly,Manual Payment,0,135984,532,Agent Distribution,1
18.7,Female,Unmarried,1,120000,Gig Work,2,Urban,Supplemental Health Insurance,7+ months,5000000,42903,Annual,Auto-Debit,0,119830,614,Direct,1
65.9,Male,Unmarried,0,162709,Employed,1,Rural,Term Life,7+ months,5000000,76738,Quarterly,Auto-Debit,0,67051,795,Embedded Apps,1
29.1,Female,Married,2,386503,Employed,0,Rural,Term Life,0-3 months,1000000,13483,Annual,Manual Payment,0,96491,706,Embedded Apps,0
22.7,Male,Unmarried,1,336103,Employed,1,Urban,Term Life,0-3 months,1000000,6162,Quarterly,Auto-Debit,1,55691,727,Direct,0
54.7,Female,Married,0,301836,Retired,0,Urban,Whole Life,0-3 months,2000000,14878,Monthly,Manual Payment,0,95258,739,Embedded Apps,0
49.6,Female,Unmarried,3,133705,Employed,4,Urban,Whole Life,4-6 months,1000000,10820,Half Yearly,Manual Payment,0,15233,632,Agent Distribution,0
26.2,Female,Married,0,236321,Gig Work,1,Urban,Whole Life,0-3 months,500000,3892,Half Yearly,Auto-Debit,3,139139,791,Direct,1
58.1,Female,Unmarried,2,120000,Gig Work,1,Urban,Term Life,7+ months,5000000,84416,Quarterly,Manual Payment,2,89555,629,Agent Distribution,1
52.3,Male,Married,1,304045,Employed,2,Urban,Supplemental Health Insurance,7+ months,500000,5620,Monthly,Manual Payment,2,75435,792,Agent Distribution,1
36.2,Male,Married,1,729562,Employed,1,Urban,Term Life,7+ months,500000,3200,Monthly,Auto-Debit,0,117689,715,Agent Distribution,1
65.7,Male,Married,2,120000,Employed,1,Urban,Term Life,7+ months,500000,6132,Monthly,Manual Payment,1,31355,536,Embedded Apps,0
33.8,Male,Married,3,178055,Employed,3,Urban,Whole Life,7+ months,2000000,12725,Monthly,Auto-Debit,0,462044,620,Agent Distribution,1
20.3,Female,Married,2,337855,Employed,3,Rural,Term Life,0-3 months,2000000,13868,Half Yearly,Auto-Debit,0,90924,537,Direct,1
37.2,Male,Married,3,644989,Employed,2,Rural,Supplemental Health Insurance,0-3 months,1000000,8594,Monthly,Auto-Debit,0,87844,773,Embedded Apps,1
41.2,Trans,Unmarried,0,196073,Gig Work,0,Urban,Supplemental Health Insurance,7+ months,1000000,17892,Half Yearly,Auto-Debit,0,45600,678,Direct,1
50.8,Female,Married,3,165284,Retired,2,Urban,Term Life,4-6 months,1000000,18869,Monthly,Auto-Debit,0,100625,501,Agent Distribution,1
41.3,Female,Married,1,120000,Employed,2,Urban,Supplemental Health Insurance,4-6 months,2000000,34787,Monthly,Manual Payment,5,299409,710,Direct,1
28.8,Male,Married,2,288487,Employed,0,Rural,Whole Life,4-6 months,500000,5005,Quarterly,Auto-Debit,0,226100,637,Agent Distribution,1
25.4,Female,Married,2,1120687,Employed,1,Rural,Supplemental Health Insurance,4-6 months,5000000,45433,Monthly,Auto-Debit,0,195545,561,Agent Distribution,1
53.5,Female,Married,4,325836,Gig Work,3,Rural,Term Life,7+ months,1000000,13237,Annual,Auto-Debit,0,152835,814,Direct,1
55.6,Female,Married,2,264184,Gig Work,0,Urban,Whole Life,4-6 months,10000000,158277,Monthly,Manual Payment,0,74099,688,Agent Distribution,1
57.8,Female,Married,0,336198,Employed,2,Rural,Term Life,7+ months,500000,9950,Quarterly,Manual Payment,1,30941,656,Direct,0
37.0,Female,Married,0,266261,Employed,1,Urban,Supplemental Health Insurance,7+ months,2000000,13947,Annual,Manual Payment,0,84050,648,Agent Distribution,0
52.9,Male,Married,3,151886,Gig Work,1,Urban,Term Life,4-6 months,1000000,5739,Half Yearly,Manual Payment,2,81740,558,Agent Distribution,1
65.7,Female,Unmarried,2,477488,Employed,0,Urban,Whole Life,4-6 months,500000,7707,Monthly,Manual Payment,0,228441,575,Direct,0
42.4,Male,Married,3,314277,Employed,3,Rural,Term Life,0-3 months,5000000,87416,Quarterly,Manual Payment,1,126438,782,Embedded Apps,0
52.4,Male,Married,1,271666,Employed,1,Urban,Term Life,4-6 months,5000000,88476,Half Yearly,Manual Payment,1,358559,642,Direct,0
42.2,Male,Unmarried,1,135570,Employed,2,Rural,Whole Life,7+ months,1000000,15176,Annual,Auto-Debit,2,257298,681,Direct,0
46.4,Male,Married,0,668275,Employed,2,Rural,Supplemental Health Insurance,7+ months,2000000,38620,Annual,Auto-Debit,2,68514,516,Agent Distribution,1
35.3,Male,Unmarried,4,427321,Gig Work,2,Urban,Whole Life,7+ months,2000000,25330,Monthly,Manual Payment,1,23479,574,Agent Distribution,1
63.1,Male,Married,2,182217,Gig Work,4,Urban,Supplemental Health Insurance,0-3 months,5000000,93536,Annual,Auto-Debit,0,299078,728,Agent Distribution,1
35.8,Trans,Unmarried,4,541055,Employed,2,Rural,Term Life,7+ months,1000000,19517,Monthly,Auto-Debit,0,292877,710,Direct,0
19.5,Female,Unmarried,1,189415,Retired,1,Urban,Whole Life,7+ months,1000000,17707,Monthly,Auto-Debit,1,33091,820,Embedded Apps,1
52.2,Trans,Married,2,155219,Employed,4,Urban,Whole Life,7+ months,1000000,9646,Annual,Manual Payment,2,330179,787,Agent Distribution,0
33.0,Male,Unmarried,2,157661,Gig Work,2,Urban,Term Life,7+ months,1000000,7943,Monthly,Auto-Debit,0,134013,661,Direct,0
58.8,Male,Married,1,120000,Employed,1,Urban,Whole Life,7+ months,5000000,66109,Monthly,Manual Payment,0,112257,717,Agent Distribution,0
53.5,Female,Married,3,373278,Gig Work,0,Urban,Whole Life,7+ months,500000,5897,Monthly,Manual Payment,2,359268,654,Embedded Apps,0
50.0,Male,Unmarried,4,120000,Retired,3,Urban,Whole Life,7+ months,500000,9083,Quarterly,Manual Payment,0,289452,844,Agent Distribution,1
21.6,Male,Unmarried,3,120000,Employed,1,Urban,Whole Life,0-3 months,2000000,13000,Half Yearly,Manual Payment,0,166219,771,Direct,1
50.5,Female,Married,3,120000,Retired,2,Urban,Whole Life,7+ months,2000000,17732,Half Yearly,Manual Payment,0,144144,693,Agent Distribution,0
31.3,Male,Married,1,252647,Gig Work,1,Rural,Term Life,0-3 months,500000,8138,Monthly,Auto-Debit,1,161638,696,Direct,0
38.1,Female,Married,1,241536,Gig Work,0,Rural,Term Life,0-3 months,1000000,6424,Quarterly,Auto-Debit,5,71679,795,Agent Distribution,0
65.7,Female,Married,4,213483,Employed,2,Rural,Whole Life,7+ months,5000000,49057,Annual,Auto-Debit,0,94458,726,Embedded Apps,1
37.8,Male,Unmarried,0,129339,Gig Work,0,Urban,Term Life,7+ months,1000000,10807,Annual,Manual Payment,0,47961,804,Agent Distribution,0
25.7,Male,Married,3,120000,Gig Work,1,Rural,Term Life,0-3 months,2000000,28677,Monthly,Manual Payment,0,75626,504,Agent Distribution,0
24.6,Female,Married,3,371408,Employed,2,Urban,Term Life,4-6 months,2000000,14743,Annual,Manual Payment,0,73621,716,Embedded Apps,0
20.6,Male,Married,2,182519,Retired,1,Urban,Whole Life,0-3 months,1000000,17909,Half Yearly,Auto-Debit,1,59382,638,Agent Distribution,1
34.1,Male,Married,5,334854,Employed,2,Rural,Term Life,7+ months,5000000,58565,Monthly,Auto-Debit,0,110127,820,Agent Distribution,0
51.0,Do not wish to disclose,Married,1,144397,Employed,3,Rural,Whole Life,7+ months,2000000,37510,Monthly,Auto-Debit,0,76177,803,Direct,0
65.9,Male,Unmarried,1,304596,Employed,2,Rural,Whole Life,7+ months,1000000,12018,Monthly,Auto-Debit,1,147530,682,Agent Distribution,1
30.0,Female,Unmarried,0,668167,Employed,0,Rural,Term Life,7+ months,2000000,18251,Half Yearly,Auto-Debit,1,26960,802,Agent Distribution,1
39.8,Do not wish to disclose,Unmarried,2,404463,Employed,0,Urban,Whole Life,4-6 months,2000000,14254,Monthly,Auto-Debit,0,90157,822,Agent Distribution,1
39.2,Male,Married,1,201050,Employed,2,Urban,Whole Life,7+ months,2000000,10112,Quarterly,Manual Payment,0,109671,685,Embedded Apps,1
63.5,Male,Unmarried,1,321270,Retired,4,Rural,Whole Life,4-6 months,5000000,64911,Monthly,Auto-Debit,5,76995,877,Embedded Apps,1
47.4,Male,Unmarried,3,226734,Employed,3,Urban,Whole Life,7+ months,1000000,6607,Annual,Auto-Debit,0,85998,677,Agent Distribution,1
55.3,Male,Unmarried,4,269821,Employed,3,Urban,Term Life,7+ months,1000000,10875,Monthly,Manual Payment,1,27772,662,Agent Distribution,0
55.2,Male,Married,1,213645,Employed,1,Rural,Whole Life,7+ months,1000000,13839,Annual,Auto-Debit,0,131292,749,Agent Distribution,1
62.6,Female,Married,2,239178,Employed,1,Rural,Term Life,4-6 months,500000,4567,Annual,Auto-Debit,2,165724,651,Direct,0
25.3,Male,Married,4,311285,Retired,1,Urban,Supplemental Health Insurance,4-6 months,500000,3814,Monthly,Auto-Debit,1,146507,686,Agent Distribution,1
44.6,Female,Married,0,133873,Gig Work,0,Rural,Supplemental Health Insurance,0-3 months,5000000,83104,Quarterly,Auto-Debit,1,226609,792,Embedded Apps,1
44.6,Do not wish to disclose,Married,0,131779,Gig Work,0,Rural,Whole Life,7+ months,2000000,38403,Monthly,Auto-Debit,2,115985,681,Agent Distribution,1
51.3,Female,Married,1,120000,Employed,4,Rural,Term Life,7+ months,2000000,13013,Annual,Auto-Debit,3,144776,544,Embedded Apps,1
38.6,Female,Married,2,120000,Employed,1,Urban,Term Life,4-6 months,2000000,14667,Quarterly,Auto-Debit,1,111845,709,Direct,1
47.0,Male,Unmarried,1,120000,Employed,1,Urban,Term Life,7+ months,5000000,97000,Monthly,Auto-Debit,0,171106,624,Agent Distribution,0
50.0,Female,Married,4,300025,Employed,0,Urban,Whole Life,7+ months,1000000,5566,Monthly,Auto-Debit,0,27951,749,Agent Distribution,0
45.1,Female,Married,2,143637,Employed,3,Urban,Term Life,0-3 months,5000000,98322,Quarterly,Manual Payment,1,48297,735,Agent Distribution,0
64.6,Male,Unmarried,2,384435,Gig Work,2,Urban,Whole Life,7+ months,1000000,5069,Annual,Auto-Debit,1,351343,797,Embedded Apps,1
50.8,Male,Unmarried,1,274937,Employed,2,Urban,Term Life,7+ months,5000000,90525,Half Yearly,Manual Payment,0,13789,752,Embedded Apps,1
23.0,Female,Unmarried,2,120000,Gig Work,3,Urban,Supplemental Health Insurance,7+ months,2000000,19219,Annual,Auto-Debit,0,88243,767,Direct,0
65.5,Male,Unmarried,2,424421,Employed,1,Rural,Term Life,4-6 months,1000000,19078,Quarterly,Auto-Debit,1,252160,626,Direct,0
36.7,Male,Married,3,473335,Employed,2,Urban,Supplemental Health Insurance,0-3 months,2000000,19508,Monthly,Manual Payment,0,91618,744,Direct,1
21.8,Male,Unmarried,3,133826,Employed,0,Rural,Supplemental Health Insurance,4-6 months,1000000,14814,Annual,Auto-Debit,0,71395,837,Agent Distribution,0
52.6,Male,Married,2,360098,Employed,0,Rural,Whole Life,4-6 months,500000,3100,Monthly,Auto-Debit,1,109484,624,Agent Distribution,0
34.0,Female,Married,4,147333,Gig Work,3,Urban,Whole Life,0-3 months,2000000,17269,Annual,Manual Payment,1,74421,823,Agent Distribution,0
61.4,Female,Married,3,287325,Employed,2,Rural,Term Life,7+ months,1000000,16605,Quarterly,Auto-Debit,0,101182,636,Agent Distribution,0
45.1,Female,Married,3,120000,Employed,1,Urban,Whole Life,7+ months,500000,6465,Monthly,Manual Payment,0,57142,611,Agent Distribution,0
47.3,Male,Married,0,120000,Retired,1,Urban,Term Life,7+ months,5000000,94597,Half Yearly,Manual Payment,0,239651,703,Embedded Apps,0
46.3,Male,Unmarried,0,205259,Employed,2,Rural,Term Life,0-3 months,2000000,22862,Annual,Auto-Debit,0,308233,737,Agent Distribution,1
63.6,Female,Unmarried,1,246074,Employed,0,Urban,Whole Life,7+ months,5000000,90235,Annual,Auto-Debit,1,88724,752,Agent Distribution,0
23.8,Male,Married,2,203134,Employed,1,Rural,Whole Life,7+ months,2000000,23468,Monthly,Auto-Debit,0,32558,603,Direct,0
52.2,Male,Married,2,120000,Employed,1,Urban,Whole Life,7+ months,1000000,19688,Monthly,Manual Payment,0,64920,714,Agent Distribution,1
58.9,Female,Unmarried,2,202819,Gig Work,1,Rural,Term Life,7+ months,1000000,19397,Quarterly,Manual Payment,0,85204,625,Agent Distribution,1
54.4,Male,Unmarried,3,324002,Gig Work,3,Urban,Term Life,7+ months,2000000,19874,Half Yearly,Manual Payment,0,147920,560,Agent Distribution,0
41.3,Female,Married,3,260035,Retired,1,Rural,Term Life,7+ months,10000000,182888,Half Yearly,Auto-Debit,5,44072,605,Embedded Apps,1
46.9,Male,Unmarried,4,304903,Employed,0,Urban,Term Life,4-6 months,1000000,17714,Monthly,Manual Payment,0,53352,619,Embedded Apps,1
63.1,Male,Married,1,167865,Employed,2,Rural,Term Life,7+ months,5000000,40801,Annual,Auto-Debit,2,148529,721,Embedded Apps,1
49.0,Male,Married,2,609383,Gig Work,3,Rural,Term Life,0-3 months,5000000,71821,Half Yearly,Auto-Debit,2,209216,772,Agent Distribution,1
52.1,Trans,Unmarried,1,120000,Employed,1,Urban,Term Life,0-3 months,2000000,12180,Annual,Manual Payment,0,60037,562,Agent Distribution,1
50.1,Female,Married,1,377487,Employed,0,Urban,Supplemental Health Insurance,0-3 months,5000000,87753,Quarterly,Auto-Debit,1,33976,708,Agent Distribution,1
38.0,Female,Married,1,613738,Employed,1,Urban,Term Life,0-3 months,1000000,7618,Quarterly,Manual Payment,0,1365859,585,Direct,0
49.4,Female,Unmarried,1,375733,Employed,2,Rural,Whole Life,4-6 months,10000000,60622,Annual,Auto-Debit,1,184728,730,Agent Distribution,1
40.4,Male,Unmarried,2,232869,Employed,2,Urban,Term Life,0-3 months,2000000,22006,Quarterly,Manual Payment,0,79729,630,Direct,0
50.2,Female,Married,3,185385,Gig Work,3,Rural,Supplemental Health Insurance,0-3 months,500000,6826,Annual,Auto-Debit,2,197842,595,Agent Distribution,1
20.2,Male,Married,0,554189,Gig Work,4,Rural,Whole Life,7+ months,5000000,89118,Annual,Auto-Debit,0,89360,743,Agent Distribution,0
35.3,Female,Married,3,120000,Employed,3,Urban,Term Life,0-3 months,1000000,19613,Half Yearly,Auto-Debit,2,197545,633,Embedded Apps,0
43.0,Male,Unmarried,2,136068,Employed,2,Urban,Whole Life,7+ months,1000000,11592,Quarterly,Auto-Debit,0,112141,654,Agent Distribution,1
59.9,Female,Married,1,203151,Employed,1,Urban,Term Life,0-3 months,2000000,11813,Monthly,Auto-Debit,2,106193,502,Embedded Apps,1
48.1,Male,Married,2,638168,Gig Work,0,Rural,Whole Life,7+ months,500000,8118,Monthly,Manual Payment,0,90141,755,Direct,0
20.9,Male,Unmarried,1,350052,Employed,4,Urban,Term Life,7+ months,1000000,13477,Monthly,Auto-Debit,1,31010,745,Direct,1
57.8,Female,Married,2,136266,Gig Work,1,Urban,Supplemental Health Insurance,7+ months,5000000,58591,Monthly,Auto-Debit,0,465317,680,Agent Distribution,0
